,Source,Target,distancias,longitudclase,pesos
358451,503,525,792.009193917696,B,0.920623897544537
358578,503,652,887.354912104064,B,0.911909994624302
359009,504,370,629.159616365078,B,0.935898679447273
359012,504,373,840.783040604827,B,0.916145619386024
359018,504,379,536.403216998503,B,0.94482767538257
359158,504,519,723.232891787347,B,0.927013656878277
359160,504,521,803.523671695901,B,0.919562727082587
359178,504,539,946.590893732605,B,0.90657885015662
359248,504,609,892.036710298076,B,0.911486359323271
359276,504,637,796.259312675584,B,0.920231922960865
359292,504,653,681.606001738695,B,0.930924332402425
359853,505,501,727.216629284528,B,0.926641123047323
359854,505,502,782.703472074694,B,0.921483300976156
359859,505,507,589.561980132404,B,0.939689732664032
359860,505,508,950.208487093886,B,0.906255291376421
359861,505,509,944.771768699846,B,0.906741640634016
359862,505,510,880.516408480385,B,0.912529488857487
359863,505,511,949.652915547033,B,0.906304966872643
359866,505,514,839.094881966714,B,0.916299893373155
359871,505,519,633.856670272872,B,0.935451014868264
359873,505,521,996.718079763836,B,0.90211593566202
359879,505,527,900.762374489918,B,0.910697861881141
359881,505,529,897.0642675159,B,0.911031875875003
359885,505,533,672.205485506445,B,0.931812043620513
359891,505,539,703.577399919134,B,0.928856107224719
359989,505,637,986.891290705013,B,0.902987366582264
360004,505,652,952.964795180661,B,0.906008921224246
360566,506,501,518.864983414415,B,0.946535143102951
360573,506,508,755.676451998248,B,0.923988426363036
360574,506,509,752.553634706902,B,0.924278757344138
360576,506,511,701.865755236527,B,0.929016898682655
360579,506,514,638.797471165237,B,0.93498058130682
360584,506,519,931.066801411919,B,0.907969957303609
360590,506,525,760.178352384041,B,0.923570201711629
360592,506,527,682.317098380953,B,0.930857250804532
360594,506,529,658.238963713189,B,0.933134063327599
360604,506,539,727.715078051413,B,0.926594532358442
360717,506,652,682.938809960734,B,0.93079860930445
361236,507,458,825.372802629524,B,0.917555828952096
361283,507,505,589.561980132404,B,0.939689732664032
361289,507,511,891.507260697106,B,0.911534247146043
361303,507,525,653.470856519475,B,0.933586254214285
361317,507,539,537.838037409639,B,0.944688258305742
361374,507,596,578.163496575617,B,0.940786716020076
361385,507,607,568.801348199131,B,0.941689641258472
361430,507,652,836.313362537905,B,0.916554198542375
361462,507,684,535.869627835601,B,0.944879533094569
361948,508,457,749.419644833746,B,0.924570310540529
361994,508,503,516.773482583065,B,0.946739177052692
361996,508,505,950.208487093886,B,0.906255291376421
361997,508,506,755.676451998248,B,0.923988426363036
362006,508,515,585.837961398567,B,0.940047848562302
362016,508,525,750.941062392068,B,0.924428751009655
362024,508,533,562.073259531265,B,0.942339597686616
362030,508,539,569.846062831862,B,0.94158879865317
362087,508,596,941.99061949581,B,0.906990634102297
362098,508,607,943.452487672151,B,0.906859737480573
362130,508,639,500.468557778403,B,0.948332806062711
362175,508,684,919.580317552956,B,0.909002007286299
362661,509,457,746.603565700945,B,0.924832445629359
362707,509,503,511.75476181562,B,0.947229131530577
362709,509,505,944.771768699846,B,0.906741640634016
362710,509,506,752.553634706902,B,0.924278757344138
362719,509,515,582.718977305357,B,0.9403479921188
362729,509,525,756.521531769308,B,0.923909889932918
362737,509,533,562.975873528011,B,0.942252349976585
362743,509,539,561.118894303825,B,0.942431865305522
362800,509,596,936.678579370535,B,0.90746659590405
362811,509,607,938.615600924923,B,0.907292979820744
362888,509,684,915.320334899026,B,0.909385359463487
363422,510,505,880.516408480385,B,0.912529488857487
363430,510,513,597.651113848782,B,0.938912789849876
363451,510,534,903.336227770331,B,0.910465535291426
363513,510,596,882.605750609153,B,0.912340127852755
363524,510,607,865.558406942905,B,0.913887459879363
363601,510,684,881.913793206184,B,0.912402832548518
364132,511,502,721.310103068224,B,0.927193571066044
364133,511,503,927.432446238151,B,0.908296247232365
364135,511,505,949.652915547033,B,0.906304966872643
364136,511,506,701.865755236527,B,0.929016898682655
364137,511,507,891.507260697106,B,0.911534247146043
364145,511,515,775.708116476294,B,0.92213039427976
364150,511,520,823.931542485654,B,0.917687942453883
364155,511,525,620.889288922621,B,0.936687946136192
364163,511,533,636.345805161007,B,0.935213955149813
