Id,Label,timeset,farmacia,lat,lng,nombre,comune,poblacion,POBLA,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality
119,CRUZ VERDE,,LA FLORIDA,33.510715,-70.608632,CRUZ VERDE,,,,23,7.152082,14,0.14669,0.206099,3164.423324,5,0.001379,1,0.932806,236,0.103955
120,CRUZ VERDE,,LA FLORIDA,33.51926,-70.600275,CRUZ VERDE,,,,28,8.721237,15,0.135465,0.19682,147.184774,5,0.00164,1,0.798942,302,0.122632
121,CRUZ VERDE,,LA FLORIDA,33.51926,-70.600275,CRUZ VERDE,,,,28,8.721237,15,0.135465,0.19682,147.184774,5,0.00164,1,0.798942,302,0.122632
122,CRUZ VERDE,,LA FLORIDA,33.546543,-70.588089,CRUZ VERDE,,,,18,2.66781,16,0.124358,0.18172,138.7621,5,0.001482,1,0.555556,85,0.037856
123,CRUZ VERDE,,LA FLORIDA,33.510449,-70.608448,CRUZ VERDE,,,,23,7.035708,14,0.14669,0.206099,3164.423324,5,0.001379,1,0.932806,236,0.103955
124,CRUZ VERDE,,LA FLORIDA,33.522345,-70.579265,CRUZ VERDE,,,,22,4.322433,16,0.132785,0.194286,3136.230868,5,0.00143,1,0.649351,150,0.085326
125,DEL DR. SIMI,,LA FLORIDA,33.521946,-70.579651,DEL DR. SIMI,,,,24,4.379379,16,0.132837,0.19576,3288.95055,5,0.00153,1,0.644928,178,0.094122
126,FARMA SUR,,LA FLORIDA,33.560976,-70.610744,FARMA SUR,,,,7,0.91758,16,0.125393,0.177555,3622.475897,6,0.000899,1,0.571429,12,0.012283
127,JUMBO,,LA FLORIDA,33.511162,-70.608098,JUMBO,,,,22,6.053846,14,0.146658,0.205361,3164.377869,5,0.001327,1,0.930736,215,0.100169
128,REDFARMA,,LA FLORIDA,33.518724,-70.600416,REDFARMA,,,,27,9.231322,15,0.135437,0.196082,97.715064,5,0.00158,1,0.854701,300,0.120511
129,REY FARMA,,LA FLORIDA,33.557606,-70.59041,REY FARMA,,,,12,1.893999,16,0.12477,0.180736,3150.633839,15,0.001188,1,0.575758,38,0.021744
130,ROSARIO,,LA FLORIDA,33.535457,-70.603641,ROSARIO,,,,19,2.460772,16,0.122515,0.176096,20.596654,5,0.001255,1,0.666667,114,0.077276
131,ROTONDA  LA FLORIDA,,LA FLORIDA,33.520682,-70.600015,ROTONDA  LA FLORIDA,,,,29,7.864939,15,0.135492,0.197557,147.220489,5,0.00169,1,0.810345,329,0.127246
132,SU FARMA,,LA FLORIDA,33.559242,-70.55976,SU FARMA,,,,15,2.780963,16,0.123677,0.18144,10110.874242,15,0.00139,1,0.666667,70,0.027619
133,SALCOBRAND,,LA FLORIDA,33.547833,-70.568365,SALCOBRAND,,,,14,2.24028,16,0.123542,0.179474,707.463136,5,0.001206,1,0.659341,60,0.028292
134,SALCOBRAND,,LA FLORIDA,33.535564,-70.573944,SALCOBRAND,,,,17,2.861339,16,0.127348,0.18192,439.144079,5,0.001332,1,0.602941,82,0.04127
135,SALCOBRAND,,LA FLORIDA,33.560726,-70.585402,SALCOBRAND,,,,12,2.118295,16,0.124931,0.182703,3282.646497,15,0.001161,1,0.621212,41,0.022752
136,SALCOBRAND,,LA FLORIDA,33.510688,-70.608514,SALCOBRAND,,,,23,7.209675,14,0.14669,0.206099,3164.423324,5,0.001379,1,0.932806,236,0.103955
137,SALCOBRAND,,LA FLORIDA,33.514212,-70.608076,SALCOBRAND,,,,25,5.725674,14,0.146976,0.208508,6331.575525,5,0.001539,1,0.843333,253,0.108816
138,SALCOBRAND,,LA FLORIDA,33.539481,-70.59156,SALCOBRAND,,,,13,2.141678,16,0.123994,0.176066,50.095284,5,0.001064,1,0.679487,53,0.033995
139,CRUZ VERDE,,LA GRANJA,33.550386,-70.617838,CRUZ VERDE,,,,10,1.47709,16,0.12017,0.162365,480.876965,6,0.001341,1,0.555556,25,0.008737
140,LOS PALTOS,,LA GRANJA,33.549518,-70.625259,LOS PALTOS,,,,11,1.756448,15,0.131599,0.174447,2903.763593,6,0.001574,1,0.581818,32,0.007873
141,LOS PALTOS,,LA GRANJA,33.555958,-70.623943,LOS PALTOS,,,,10,1.781173,15,0.122782,0.166708,4844.542547,6,0.001392,1,0.622222,28,0.008074
142,ESPOZ,,LA GRANJA,33.541513,-70.634116,ESPOZ,,,,10,1.76996,15,0.128971,0.165249,1837.679772,6,0.001479,1,0.6,27,0.007025
143,CORDILLERA,,LA PINTANA,33.556595,-70.645634,CORDILLERA,,,,7,1.530445,15,0.120277,0.154538,2313.002413,6,0.001138,1,0.47619,10,0.005689
144,CRUZ VERDE,,LA PINTANA,33.605702,-70.626815,CRUZ VERDE,,,,1,0.1,17,0.09953,0.118594,0,6,0.000428,1,0,0,0.000485
145,FARMA SUR,,LA PINTANA,33.581962,-70.657895,FARMA SUR,,,,5,0.578469,17,0.100564,0.129503,4691.670401,18,0.000966,1,0.5,5,0.002862
146,SUR,,LA PINTANA,33.556434,-70.645119,SUR,,,,9,1.73595,15,0.122893,0.162936,9103.329178,6,0.001385,1,0.472222,17,0.007177
147,SALCOBRAND,,LA PINTANA,33.582752,-70.631836,SALCOBRAND,,,,2,0.427329,17,0.099545,0.119331,0,6,0.000745,1,1,1,0.000808
148,AHUMADA,,LA REINA,33.428451,-70.540534,AHUMADA,,,,21,5.058042,15,0.134684,0.199912,498.83303,23,0.001338,1,0.661905,139,0.058554
149,AHUMADA,,LA REINA,33.462165,-70.547272,AHUMADA,,,,12,1.542196,15,0.139277,0.191386,2066.816946,22,0.000973,1,0.469697,31,0.022862
150,AHUMADA,,LA REINA,33.430313,-70.555769,AHUMADA,,,,20,2.769541,15,0.138906,0.209253,800.781508,23,0.00123,1,0.557895,106,0.068648
151,AHUMADA,,LA REINA,33.438801,-70.557014,AHUMADA,,,,24,4.344668,14,0.150399,0.223482,2422.117912,23,0.001454,1,0.557971,154,0.073901
152,AHUMADA,,LA REINA,33.452498,-70.561026,AHUMADA,,,,19,3.491109,14,0.148391,0.214513,493.896192,23,0.001125,1,0.672515,115,0.083278
